ISO,Country,Data source,Sector,Gas,Unit,Year,Value
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2009,100.25
IDN,Indonesia,Climate Watch,Transportation,CO2,MtCO₂e,2009,81.68
IDN,Indonesia,Climate Watch,Energy,CH4,MtCO₂e,2009,88.6
IDN,Indonesia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,2009,24.58
IDN,Indonesia,Climate Watch,Industrial Processes,CO2,MtCO₂e,2009,19.44
IDN,Indonesia,Climate Watch,Energy,N2O,MtCO₂e,2009,5.27
IDN,Indonesia,Climate Watch,Transportation,N2O,MtCO₂e,2009,1.65
IDN,Indonesia,Climate Watch,Industrial Processes,F-Gas,MtCO₂e,2009,2.19
IDN,Indonesia,Climate Watch,Waste,N2O,MtCO₂e,2009,2.35
IDN,Indonesia,Climate Watch,Industrial Processes,CH4,MtCO₂e,2009,2.61
IDN,Indonesia,Climate Watch,Electricity/Heat,N2O,MtCO₂e,2009,0.46
IDN,Indonesia,Climate Watch,Transportation,CH4,MtCO₂e,2009,0.56
IDN,Indonesia,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,2009,0.61
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,2009,0.36
IDN,Indonesia,Climate Watch,Industrial Processes,N2O,MtCO₂e,2009,0.33
IDN,Indonesia,Climate Watch,Electricity/Heat,CH4,MtCO₂e,2009,0.07
IDN,Indonesia,Climate Watch,Energy,All GHG,MtCO₂e,2008,442.93
IDN,Indonesia,Climate Watch,Energy,CO2,MtCO₂e,2008,355.6
IDN,Indonesia,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,2008,153.06
IDN,Indonesia,Climate Watch,Electricity/Heat,CO2,MtCO₂e,2008,152.51
IDN,Indonesia,Climate Watch,Waste,All GHG,MtCO₂e,2008,141.17
IDN,Indonesia,Climate Watch,Waste,CH4,MtCO₂e,2008,138.86
IDN,Indonesia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,2008,92.5
IDN,Indonesia,Climate Watch,Transportation,All GHG,MtCO₂e,2008,74.03
IDN,Indonesia,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2008,91.57
IDN,Indonesia,Climate Watch,Transportation,CO2,MtCO₂e,2008,72.07
IDN,Indonesia,Climate Watch,Energy,CH4,MtCO₂e,2008,82.11
